Question,Correct_Answer,Option_2,Option_3,Option_4
What is the net force acting on a 10 kg object accelerating at 2 m/s² on a frictionless surface?,20 N,10 N,5 N,50 N
A 5 kg object is lifted to a height of 3 meters. What is the gravitational potential energy gained? (Assume g = 10 m/s²),150 J,300 J,50 J,500 J
What is the force required to accelerate a 1000 kg car from rest to 20 m/s in 10 seconds?,2000 N,1000 N,500 N,2500 N
"If a 10 N force is applied to a 2 kg object, what will be its acceleration?",5 m/s²,2 m/s²,10 m/s²,20 m/s²
What is the normal force acting on a 50 kg object on a horizontal surface?,500 N,50 N,100 N,250 N
A car moving at 30 m/s comes to a stop in 10 seconds. What is the average deceleration?,3 m/s²,5 m/s²,10 m/s²,2 m/s²
What is the momentum of a 1000 kg car moving at 20 m/s?,"20,000 kg m/s",2000 kg m/s,"10,000 kg m/s","50,000 kg m/s"
A spring stretches 0.5 meters under a 10 N force. What is the spring constant?,20 N/m,10 N/m,5 N/m,50 N/m
"A 60 kg astronaut pushes off a 500 kg satellite. If the astronaut accelerates at 0.2 m/s², what is the satellite's acceleration?",0.024 m/s²,0.2 m/s²,0.12 m/s²,0.04 m/s²
What is the gravitational force between two 10 kg masses separated by 2 meters? (G = 6.67 × 10^-11 N m²/kg²),1.67 × 10^-9 N,3.34 × 10^-9 N,6.67 × 10^-9 N,1.00 × 10^-9 N
A 1000 kg car moving at 15 m/s crashes into a stationary 1000 kg car. What is their combined speed after the collision if they stick together?,7.5 m/s,10 m/s,5 m/s,15 m/s
What is the power required to lift a 50 kg object 5 meters high in 10 seconds?,250 W,500 W,1000 W,50 W
"If the mass of an object is doubled, what happens to its kinetic energy if the speed remains the same?",It doubles,It halves,It remains the same,It quadruples
What is the work done when a 20 N force moves an object 5 meters in the direction of the force?,100 J,200 J,50 J,400 J
What is the pressure exerted by a 500 N object on a 0.5 m² surface?,1000 Pa,250 Pa,500 Pa,1500 Pa
A 60 kg skydiver reaches terminal velocity. What is the net force acting on them?,0 N,60 N,600 N,120 N
What is the resultant force if two 10 N forces act on an object at right angles to each other?,14.1 N,10 N,20 N,5 N
What is the acceleration due to gravity on a planet where a 60 kg object weighs 300 N?,5 m/s²,10 m/s²,15 m/s²,20 m/s²
"If the kinetic energy of a moving object is 500 J and its mass is 20 kg, what is its speed?",7.1 m/s,10 m/s,5 m/s,15 m/s
A car with a mass of 800 kg accelerates from 0 to 20 m/s in 4 seconds. What is the average force exerted?,4000 N,1600 N,2000 N,1000 N
What is the potential energy of a 10 kg object raised 10 meters above the ground? (g = 10 m/s²),1000 J,100 J,500 J,2000 J
What is the impulse exerted when a 5 N force acts on an object for 10 seconds?,50 Ns,5 Ns,10 Ns,100 Ns
What is the centripetal force acting on a 2 kg object moving at 10 m/s in a circle with a radius of 5 m?,40 N,20 N,10 N,50 N
What is the speed of a 2 kg mass that has 400 J of kinetic energy?,20 m/s,10 m/s,30 m/s,40 m/s
What is the weight of a 2 kg mass on the Moon where g = 1.6 m/s²?,3.2 N,16 N,20 N,9.8 N
"If a 500 N force is applied at an angle of 60 degrees to the horizontal, what is the horizontal component?",250 N,400 N,500 N,300 N
What is the gravitational potential energy of a 10 kg object 10 m above the ground?,1000 J,500 J,200 J,100 J
A 10 kg object moving at 10 m/s collides with a 5 kg object at rest. What is their combined speed if they stick together?,6.7 m/s,10 m/s,5 m/s,8.5 m/s
"If the radius of a rotating object is halved while keeping the speed constant, what happens to the centripetal acceleration?",It doubles,It halves,It remains the same,It quadruples
