Question,Correct_Answer,Option_2,Option_3,Option_4
What is the unit of force in the SI system?,Newton,Joule,Pascal,Watt
Which of the following is an example of a contact force?,Friction,Gravitational force,Magnetic force,Electrostatic force
What happens to an object's motion when the net force acting on it is zero?,It remains at constant speed or at rest,It accelerates,It stops immediately,It changes direction
What is the effect of increasing the mass of an object on its gravitational force?,Gravitational force increases,Gravitational force decreases,Gravitational force remains the same,It becomes weightless
What is the force that opposes the motion of an object through a fluid?,Drag force,Magnetic force,Electrostatic force,Elastic force
Which of the following is an example of a non-contact force?,Magnetic force,Tension,Friction,Normal force
"What is the relationship between force, mass, and acceleration as described by Newton's second law?",Force = Mass × Acceleration,Force = Mass / Acceleration,Force = Mass + Acceleration,Force = Mass - Acceleration
Which force is responsible for keeping planets in orbit around the sun?,Gravitational force,Magnetic force,Nuclear force,Elastic force
What is the effect of doubling the mass of an object on its weight?,Its weight doubles,Its weight halves,Its weight remains the same,Its weight becomes zero
What kind of force acts to restore a stretched or compressed spring to its original length?,Elastic force,Magnetic force,Gravitational force,Electrostatic force
What type of force is friction?,Contact force,Non-contact force,Nuclear force,Magnetic force
Which of the following factors does not affect the frictional force between two surfaces?,Color of the surfaces,Roughness of the surfaces,Normal force,Material of the surfaces
What happens to the gravitational force between two objects if the distance between them is doubled?,It reduces to a quarter,It doubles,It becomes zero,It increases four times
What is the term for the force that opposes the relative motion between two surfaces?,Friction,Gravity,Magnetism,Inertia
Which force acts against the direction of motion and causes a moving object to slow down?,Friction,Gravity,Electrostatic force,Magnetic force
Which of the following is a vector quantity?,Force,Temperature,Time,Speed
Which of the following forces can work at a distance?,Magnetic force,Tension,Normal force,Friction
What is the effect of reducing the surface area in contact on the pressure exerted?,Pressure increases,Pressure decreases,Pressure remains constant,No effect
What is the unit of pressure?,Pascal,Newton,Joule,Watt
What is the direction of the frictional force?,Opposite to the direction of motion,In the direction of motion,At right angles to the motion,Vertically downward
Which force is responsible for the formation of tides?,Gravitational force,Magnetic force,Nuclear force,Frictional force
What happens to the gravitational force between two objects if their masses are doubled?,It quadruples,It halves,It remains the same,It doubles
Which of the following is not a type of force?,Light,Friction,Magnetism,Gravity
What is the effect of air resistance on a falling object?,It slows down the object,It speeds up the object,It has no effect,It makes the object heavier
What is the cause of weight?,Gravitational force,Magnetic force,Electrostatic force,Nuclear force
What force keeps a satellite in orbit?,Gravitational force,Electrostatic force,Magnetic force,Frictional force
What is the effect of increasing the distance between two magnets?,The magnetic force decreases,The magnetic force increases,The magnetic force remains the same,The magnets repel each other
What is the effect of reducing the mass of an object on its weight?,Its weight decreases,Its weight increases,Its weight remains the same,Its weight doubles
Which of the following can reduce friction?,Lubrication,Rough surfaces,Increasing the mass,Applying more force
What happens to the pressure exerted if the force is increased but the area remains the same?,Pressure increases,Pressure decreases,Pressure remains the same,Pressure becomes zero
